,title,guid,specialization,city,companyName,totalCompensation,totalCompensationNumber,totalCompensationDetails,baseSalary,baseSalaryNumber,oldYearForData,otherContext
1031,Software Engineer II,gjl3ffcmzp3wusjes85cd,,Amsterdam,Booking.com,"€116,000",116000,"€95K salary, €14K bonus, €7K equity/year, €4K relocation","€7,917/month",95000,2022,
1032,Senior Software Engineer,wdl693xkxh6i2cjpxc4ps,,Amsterdam,Microsoft,"€140,000",140000,"€120K salary, €10K bonus, €10K sign-on, €7K benefits, €5K relocation","€10,000/month",120000,2020,
1033,Designer ,0dl3uars6qi92i4nov0o9,,Amsterdam,🔒 FinTech industry,"€155,000",155000,€155K salary,"€12,920/month (€85/hour)",155000,2022,Freelance
1034,Senior Software Engineer,2ol3ip2s9zw6wgh01eroc,,Remote from anywhere,HashiCorp,"€191,000",191000,"€135K salary, €56K equity/year","€11,250/month",135000,2022,
1035,Principal Software Engineer ,mnl6b2lwyc05wav9hacv9l,,Amsterdam (hybrid option),🔒 Big Tech,"€311,000",311000,"€200K salary, €60K bonus, €50K equity/year, €30K benefits","€16,704/month",200000,2022,
1036,Senior Data Scientist,xyl22cszru0he7ylyohunr,,,Roku,"€110,000",110000,"€100K salary, €10K bonus","€8,333/month",100000,2022,
1037,🔒 Mid-level position within data science,fflb0wonuma0x4zo2dt46,,Remote from anywhere,Spotify,"€126,000",126000,"€91K salary, €35K equity/year, €8K relocation","€7,560/month",90500,2022,
1038,🔒 Senior-level position within software engineering,jnl0jtkrbj1u3s6pchlgc,,Remote within country,Spotify,"€154,000",154000,"€110K salary, €44K equity/year","€9,167/month",110000,2022,
1039,Team Lead,0yl5tyupdr88w9jvw49mc,,Amsterdam (hybrid option),🔒 Trading company,"€180,000",180000,"€80K salary, €95K bonus, €5K equity/year, €5K benefits","€6,667/month",80000,2021,
1040,Lead Data Engineer,2al34g1zcvs4kxrzx0ffq,,The Hague (flexible days),🔒 Cybersecurity company,"€319,000",319000,€319K salary,"€26,600/month (€175/hour)",319000,2022,Freelance
1041,Senior Software Engineer,czl52ffooyzglp5fcf17a,,Hybrid option,🔒 Big Tech,"€247,000",247000,"€120K salary, €12K bonus, €35K sign-on, €80K equity/year","€10,000/month",120000,2022,
1042,Senior Engineering Manager,selcw21gfifwz2wmq09ck,,Amsterdam,Salesforce,"€217,000",217000,"€145K salary, €22K bonus, €50K equity/year","€12,083/month",145000,2022,
1043,Software Engineer,84kxgj9j2fsqmdvjvox3p,,Amsterdam,Databricks,"€168,000",168000,"€90K salary, €11K bonus, €68K equity/year","€7,470/month",89500,2021,
1044,Dynamics CE Consultant,1xl2xi2nltovqpwichqb,,Utrecht (flexible days),🔒 Digital transformation company,"€55,000",55000,"€51K salary, €4K bonus","€4,250/month",51000,2022,
1045,Software Engineer,ipldj66xmg2jdcfxmgsu7,,,IMC Trading,"€155,000",155000,"€111K salary, €44K bonus","€9,250/month",111000,2023,
1046,Senior Software Engineer,qtlaiof6jm92cqzhpbshr,,Amsterdam (hybrid option),🔒 Software development consultancy,"€56,500",56500,"€2K salary, €54K bonus",€200/month,2400,2022,
1047,Senior Software Engineer ,tzld0kb987nqkus50lr6f,,Amsterdam,🔒 Local Startup,"€80,000",80000,€80K salary,"€6,667/month",80000,2022,
1048,Senior QA Engineer,ixl3a9pmzpx17xvnruver,,Amsterdam (hybrid option),🔒 Local company,"€78,000",78000,"€78K salary, €3K relocation","€6,480/month",78000,2022,
1049,Senior Software Engineer,aol1666sfzgkevdn18e6p,,Amsterdam (flexible days),🔒 Local Startup,"€73,500",73500,€74K salary,"€6,125/month",73500,2022,
1050,Group Lead,e8l55brffxlt2tm6a5ix,,Amsterdam (hybrid option),Gorillas,"€123,000",123000,"€110K salary, €13K equity/year","€9,167/month",110000,2022,
1051,SDE 2,spl864t8kz0i9fua3w1lv,,,Amazon,"€115,000",115000,"€97K salary, €18K sign-on","€8,083/month",97000,2022,
1052,Senior Concept Artist ,kdl3eum0vyfn4tpq0yruh,,,🔒 Gaming industry,"€83,000",83000,"€74K salary, €9K bonus, €2K relocation","€6,167/month",74000,2022,
1053,Principal Data Engineer,qcldbl2h4w5h3ra4bu29a,,Schiphol-Oost,KLM,"€219,000",219000,€219K salary,"€18,240/month (€120/hour)",219000,2023,Freelance
1054,Senior Cybersecurity Consultant,f3l2ui18zl87lhg18thgb,,Utrecht (hybrid option),🔒 Global consulting company,"€61,000",61000,"€56K salary, €5K bonus","€4,698/month",56500,2022,
1055,Offensive Security Researcher,dnkzjzjryd1001krtjtrk,,Remote within country,🔒 Semiconductor industry,"€168,000",168000,"€130K salary, €18K bonus, €10K sign-on, €10K equity/year, €12K benefits","€10,833/month",130000,2022,
1056,🔒 Mid-level position within product &amp; program management,ivkzqhos7pg6bhugvptcf,,Amsterdam,Uber,"€162,000",162000,"€77K salary, €11K bonus, €74K equity/year, €12K benefits","€6,417/month",77000,2021,
1057,Mobile Software Engineer II,92l0pel3pt7g2c6by2urr,,Remote within country,Beat,"€86,000",86000,"€82K salary, €4K bonus","€6,808/month",81500,2019,
1058,UX Designer,4il1wmf7nobqegz1thc4g,,Amsterdam,Booking.com,"€109,000",109000,"€90K salary, €13K bonus, €7K equity/year, €3K relocation","€7,458/month",89500,2022,
1059,Senior Software Engineer,0ql3kbo1f4j44ecsac4ic,,,ABN AMRO,"€87,500",87500,€88K salary,"€7,300/month",87500,2022,
1060,Software Tester Engineer,kal3dkj0sddcfckusfzse,,amsterdam,ASML,"€98,000",98000,€98K salary,"€8,167/month",98000,2022,
1061,Senior Programmer,n9kvalp93klafquuucfcf,,Amsterdam (flexible days),🔒 Gaming industry,"€91,000",91000,"€70K salary, €21K bonus, €5K relocation","€5,833/month",70000,2021,
1062,Senior Software Engineer,fykv6t5t3tst3zaeuu27,,Amsterdam,Elastic,"€142,000",142000,"€108K salary, €8K sign-on, €26K equity/year","€9,000/month",108000,2021,
1063,Design Engineer,4kkv40zj494tcbfy4ztgg,,Eindhoven (flexible days),ASML,"€71,500",71500,"€60K salary, €11K bonus, €5K relocation","€5,040/month",60500,2021,
1064,Lead Software Engineer,jbkv44astpnjjerlz9ass,,Alphen aan den Rijn (flexible days),Wolters Kluwer,"€97,500",97500,"€79K salary, €18K bonus","€6,591/month",79000,2020,
1065,Senior Product Manager,8zkuyn2q5hqoahrvf9jc9,,,Booking.com,"€130,000",130000,"€100K salary, €20K bonus, €10K equity/year","€8,317/month",100000,2021,
